date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:41:24	79857/79857	---M-Z	200	added ('OK')	text/html	date:Mon,%2020%20Oct%202025%2003:41:23%20GMT	https://www.bancopatagonia.com.ar/personas/index.php	/home/pablo/websites/bancopatagonia_2025/personas/index.html	(from )
00:41:24	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2020%20Oct%202025%2003:41:24%20GMT	https://www.bancopatagonia.com.ar/robots.txt		(from )
00:41:25	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Mon,%2020%20Oct%202025%2003:41:25%20GMT	https://www.googletagmanager.com/gtm.js?id=	/home/pablo/websites/bancopatagonia_2025/gtm.15445.delayed	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:26	1406/1406	---M--	200	added ('OK')	image/vnd.microsoft.icon	date:Tue,%2020%20Nov%202018%2003:07:08%20GMT	https://www.bancopatagonia.com.ar/favicon.ico	/home/pablo/websites/bancopatagonia_2025/favicon.ico	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:27	31000/31000	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Nov%202018%2003:06:41%20GMT	https://www.bancopatagonia.com.ar/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css	/home/pablo/websites/bancopatagonia_2025/assets/fonts/font-awesome-4.7.0/css/font-awesome.min.css	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:28	122061/122061	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Nov%202018%2003:06:41%20GMT	https://www.bancopatagonia.com.ar/assets/bootstrap/css/bootstrap.min.css	/home/pablo/websites/bancopatagonia_2025/assets/bootstrap/css/bootstrap.min.css	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:29	2313/2313	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Nov%202018%2003:06:41%20GMT	https://www.bancopatagonia.com.ar/assets/js/mtabs/bootstrap-responsive-tabs.css	/home/pablo/websites/bancopatagonia_2025/assets/js/mtabs/bootstrap-responsive-tabs.css	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:30	1760/1760	---M--	200	added ('OK')	text/css	date:Tue,%2020%20Nov%202018%2003:06:41%20GMT	https://www.bancopatagonia.com.ar/assets/js/slick/slick.css	/home/pablo/websites/bancopatagonia_2025/assets/js/slick/slick.css	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:31	14094/14094	---M--	200	added ('OK')	text/css	date:Fri,%2016%20Nov%202018%2003:48:23%20GMT	https://www.bancopatagonia.com.ar/assets/js/fancybox/jquery.fancybox.min.css	/home/pablo/websites/bancopatagonia_2025/assets/js/fancybox/jquery.fancybox.min.css	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:33	1358/1358	---M--	200	added ('OK')	text/css	date:Thu,%2026%20Jan%202023%2020:14:46%20GMT	https://www.bancopatagonia.com.ar/assets/css/padi.css	/home/pablo/websites/bancopatagonia_2025/assets/css/padi.css	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:33	94644/94644	---M--	200	added ('OK')	text/css	date:Fri,%2003%20Oct%202025%2013:41:41%20GMT	https://www.bancopatagonia.com.ar/assets/css/styles.css	/home/pablo/websites/bancopatagonia_2025/assets/css/styles.css	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:34	47986/47986	---M--	200	added ('OK')	image/webp	date:Mon,%2015%20Sep%202025%2019:25:21%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-te-quiero-dsk.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-te-quiero-dsk.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:36	138648/138648	---M--	200	added ('OK')	image/webp	date:Mon,%2015%20Sep%202025%2019:24:50%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-te-quiero-dsk@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-te-quiero-dsk@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:36	49880/49880	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Oct%202025%2012:54:43%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-inversiones-dsk.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-inversiones-dsk.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:37	107738/107738	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Oct%202025%2012:54:34%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-inversiones-dsk@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-inversiones-dsk@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:38	52082/52082	---M--	200	added ('OK')	image/webp	date:Mon,%2022%20Sep%202025%2014:24:07%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-patagonia-simple-dsk.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-patagonia-simple-dsk.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:40	131814/131814	---M--	200	added ('OK')	image/webp	date:Mon,%2022%20Sep%202025%2014:23:53%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-patagonia-simple-dsk@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-patagonia-simple-dsk@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:40	27368/27368	---M--	200	added ('OK')	image/webp	date:Thu,%2007%20Aug%202025%2018:16:37%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-referi-y-gana-dsk.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-referi-y-gana-dsk.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:41	67004/67004	---M--	200	added ('OK')	image/webp	date:Thu,%2007%20Aug%202025%2018:16:27%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-referi-y-gana-dsk@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-referi-y-gana-dsk@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:42	44844/44844	---M--	200	added ('OK')	image/webp	date:Wed,%2025%20Jun%202025%2020:17:57%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-plazo-fijo-dsk.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-plazo-fijo-dsk.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:43	98724/98724	---M--	200	added ('OK')	image/webp	date:Wed,%2025%20Jun%202025%2020:17:47%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-plazo-fijo-dsk@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-plazo-fijo-dsk@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:44	34084/34084	---M--	200	added ('OK')	image/webp	date:Thu,%2021%20Aug%202025%2018:29:22%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-pago-transporte-dsk.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-pago-transporte-dsk.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:45	74912/74912	---M--	200	added ('OK')	image/webp	date:Thu,%2021%20Aug%202025%2018:29:09%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-pago-transporte-dsk@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-pago-transporte-dsk@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:46	40602/40602	---M--	200	added ('OK')	image/webp	date:Mon,%2015%20Sep%202025%2019:25:54%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-te-quiero-tbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-te-quiero-tbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:47	105186/105186	---M--	200	added ('OK')	image/webp	date:Mon,%2015%20Sep%202025%2019:25:37%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-te-quiero-tbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-te-quiero-tbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:48	38616/38616	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Oct%202025%2012:49:43%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-inversiones-tbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-inversiones-tbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:49	84404/84404	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Oct%202025%2012:49:18%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-inversiones-tbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-inversiones-tbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:50	38138/38138	---M--	200	added ('OK')	image/webp	date:Mon,%2022%20Sep%202025%2014:24:56%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-patagonia-simple-tbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-patagonia-simple-tbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:51	97552/97552	---M--	200	added ('OK')	image/webp	date:Mon,%2022%20Sep%202025%2014:24:45%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-patagonia-simple-tbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-patagonia-simple-tbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:52	19090/19090	---M--	200	added ('OK')	image/webp	date:Thu,%2007%20Aug%202025%2018:17:31%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-referi-y-gana-tbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-referi-y-gana-tbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:53	38704/38704	---M--	200	added ('OK')	image/webp	date:Thu,%2007%20Aug%202025%2018:17:22%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-referi-y-gana-tbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-referi-y-gana-tbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:54	30130/30130	---M--	200	added ('OK')	image/webp	date:Wed,%2025%20Jun%202025%2020:19:55%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-plazo-fijo-tbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-plazo-fijo-tbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:55	65314/65314	---M--	200	added ('OK')	image/webp	date:Wed,%2025%20Jun%202025%2020:19:41%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-plazo-fijo-tbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-plazo-fijo-tbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:56	27440/27440	---M--	200	added ('OK')	image/webp	date:Thu,%2021%20Aug%202025%2018:27:43%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-pago-transporte-tbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-pago-transporte-tbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:57	59404/59404	---M--	200	added ('OK')	image/webp	date:Thu,%2021%20Aug%202025%2018:26:52%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-pago-transporte-tbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-pago-transporte-tbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:58	22340/22340	---M--	200	added ('OK')	image/webp	date:Mon,%2015%20Sep%202025%2019:24:33%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-te-quiero-mbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-te-quiero-mbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:41:59	55584/55584	---M--	200	added ('OK')	image/webp	date:Mon,%2015%20Sep%202025%2019:24:15%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-te-quiero-mbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-te-quiero-mbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:42:00	27066/27066	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Oct%202025%2012:50:33%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-inversiones-mbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-inversiones-mbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:42:01	55254/55254	---M--	200	added ('OK')	image/webp	date:Thu,%2016%20Oct%202025%2012:50:24%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-inversiones-mbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-inversiones-mbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:42:02	23922/23922	---M--	200	added ('OK')	image/webp	date:Mon,%2022%20Sep%202025%2014:23:40%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-patagonia-simple-mbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-patagonia-simple-mbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:42:03	59456/59456	---M--	200	added ('OK')	image/webp	date:Mon,%2022%20Sep%202025%2014:23:32%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-patagonia-simple-mbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-patagonia-simple-mbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:42:04	14088/14088	---M--	200	added ('OK')	image/webp	date:Thu,%2007%20Aug%202025%2018:15:27%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-referi-y-gana-mbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-referi-y-gana-mbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:42:05	26216/26216	---M--	200	added ('OK')	image/webp	date:Thu,%2007%20Aug%202025%2018:15:18%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-referi-y-gana-mbl@2x.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-referi-y-gana-mbl@2x.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
00:42:06	20164/20164	---M--	200	added ('OK')	image/webp	date:Wed,%2025%20Jun%202025%2020:14:15%20GMT	https://www.bancopatagonia.com.ar/personas/images/main-slider/slide-plazo-fijo-mbl.webp	/home/pablo/websites/bancopatagonia_2025/personas/images/main-slider/slide-plazo-fijo-mbl.webp	(from https://www.bancopatagonia.com.ar/personas/index.php)
